month,total_demand,total_forecast,surge_d2_demand,surge_d9_demand,allocated_d2,allocated_d9,unmet_demand_month,allocation_vector
36,1492,1437,210,109,26,0,283,"[0, 0, 26, 0, 0, 0, 27, 0, 0, 0, 0, 7]"
37,1542,1480,198,121,27,0,313,"[0, 0, 27, 33, 0, 0, 0, 0, 0, 0, 0, 0]"
38,1562,1528,247,174,0,0,343,"[0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 52]"
39,1579,1578,234,172,60,0,374,"[0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,1677,1605,228,198,60,0,454,"[0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,1602,1648,163,166,0,60,390,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0]"
